#thred SYNCHRONIZED_INTEGERlat SYNCHRONIZED_INTEGERthr BITONIClat BITONICthr TREElat TREEthr ATOMIC_INTEGERlat ATOMIC_INTEGERthr 
2 0.0 0.008905420650981004 0.0 0.0042343622662097385 2.8999999999999995 0.005961759067155001 0.0 0.01049443289318705 
3 0.13333333333333333 0.00776957076820398 0.6333333333333334 0.0050830267065606555 4.166666666666667 0.0017829092497355546 0.0 0.011109730562408465 
4 1.45 0.007197562517601518 0.25 0.0054685090682099115 8.850000000000001 0.0016274638508057132 1.5750000000000002 0.011485566303068429 
5 3.1200000000000006 0.006475743835792365 5.2799999999999985 0.006671197221152578 13.8 0.0012372831918530138 4.58 0.011546321052386574 
6 3.8666666666666667 0.006573098604026449 15.166666666666668 0.0072560409582619525 67.33333333333334 6.937806079690689E-4 2.6333333333333337 0.012486036954666522 
7 31.428571428571427 0.006478719246394144 30.985714285714288 0.007633876166793715 210.54285714285717 7.304904405579789E-4 13.857142857142856 0.01281519462522591 
8 111.325 0.006420368194880628 91.5625 0.007230628557404918 1353.5375000000001 6.644425124567734E-4 14.6125 0.013198457218347026 
9 362.2 0.006403670103428028 227.74444444444444 0.006615296324941062 1835.1222222222225 7.493860041709383E-4 56.32222222222224 0.013274700149898039 
10 588.64 0.005938985416105218 383.18 0.006330076718452433 2639.2799999999997 5.750485215644033E-4 84.22 0.013397320242598902 
11 793.3636363636365 0.0059675556559934334 579.2181818181818 0.005837840599989822 3578.281818181818 5.529414071291925E-4 116.94545454545454 0.013602739661217791 
12 940.8166666666667 0.006190872767566072 706.0583333333334 0.005983636348737367 6035.025000000001 4.952844998591373E-4 132.23333333333335 0.013939115641346736 
13 1149.1846153846154 0.006118267686994262 775.1538461538462 0.006244499889850778 6606.246153846153 5.283426029200106E-4 164.1615384615385 0.014159646295769032 
14 1307.6642857142856 0.006198978456619067 836.4214285714285 0.006618551937114728 10101.1 5.145378644044522E-4 160.91428571428574 0.014968889315096583 
15 1459.94 0.00625356342294609 950.6600000000001 0.006548538074203876 12275.586666666666 5.166886386509348E-4 222.51999999999998 0.014166234679613292 
16 1671.0812500000002 0.006194288975039733 1021.4875 0.006795124230856113 16368.8 5.43658518068729E-4 223.95624999999998 0.014810535971129352 
17 1779.3058823529411 0.006361975357843048 1050.2705882352943 0.006953166226415162 18317.24705882353 5.344738854575584E-4 272.68823529411765 0.01484343718104406 
18 2002.3944444444446 0.006213290189888064 1249.211111111111 0.006733083452095632 19242.877777777776 5.052178240259926E-4 259.6944444444444 0.015052440617541388 
19 2190.5526315789475 0.006143161550835702 1253.3684210526317 0.00696817589737731 20642.873684210528 4.8629457560889417E-4 278.25263157894733 0.0149954058965239 
20 2394.6000000000004 0.006075914876211005 1443.3200000000002 0.006815661361469125 21943.124999999996 4.8263987381197643E-4 300.66999999999996 0.014958449800652269 
21 2425.0999999999995 0.006384000511744817 1492.0619047619045 0.0067271200147821925 22898.29047619048 4.855325800501919E-4 241.64761904761903 0.015352392102603214 
22 2562.2909090909093 0.0064107838077959636 1757.759090909091 0.006490007965228091 26348.786363636358 4.591785577840932E-4 236.71363636363634 0.015261873093898736 
23 2782.282608695652 0.006322865109372299 1784.5173913043475 0.0066172508437075915 30426.521739130432 4.3456401972771243E-4 245.38260869565218 0.015318133737920908 
24 2976.2625 0.006271492869876683 1859.3958333333335 0.006613725043685896 35309.395833333336 4.211141523211316E-4 308.20416666666665 0.015215588139735082 
25 2912.244 0.006627618377014141 1862.8279999999997 0.006821653311071776 36158.416 4.333643171968983E-4 386.476 0.015305171554553043 
26 3065.3923076923083 0.006630729222504985 2120.6923076923076 0.0067295593314316135 38257.97692307692 4.398648902513342E-4 388.6192307692307 0.01509050683215812 
27 3278.1 0.006459788329588704 2071.6555555555556 0.006879051526313732 40475.45925925925 4.45756277029862E-4 325.2703703703704 0.015099831024760988 
28 3635.0464285714284 0.006201434840710531 2174.35 0.00666769724350362 43564.41428571429 4.573400540967212E-4 366.0464285714286 0.015316687548729757 
29 3626.1517241379306 0.006416022751945452 2288.0655172413794 0.006724812304868357 45185.71379310346 4.6503742284301696E-4 394.61724137931037 0.015271895309952883 
30 3765.7466666666664 0.006442394490729866 2476.9 0.006312326538657195 48658.54333333333 4.7142875474611904E-4 392.81333333333333 0.015312749766562475 
31 3919.916129032258 0.006460319164901327 2720.3935483870964 0.005756809019102108 52485.33225806452 4.7497699255112E-4 422.90645161290325 0.015189379223602533 
32 4223.184375 0.006276826655350449 3010.2124999999996 0.005874195583300878 58072.759374999994 4.788811805724477E-4 401.37499999999994 0.015401710275545238 
