#thred SYNCHRONIZED_INTEGERlat SYNCHRONIZED_INTEGERthr BITONIClat BITONICthr TREElat TREEthr ATOMIC_INTEGERlat ATOMIC_INTEGERthr 
2 154.90165939331055 0.008083821679369085 366.6055483818055 0.004404084633599362 237.37164459228518 0.006188858571831208 102.92366905212404 0.010676869906870882 
3 314.3630655888484 0.0074918973786193485 512.9118455041719 0.004919319380400874 1229.4479174110074 0.0016208759946634232 163.00920039086878 0.011179728201238298 
4 459.67662715911865 0.007188149386544314 625.5301972389221 0.00547557379785061 2235.3655953407288 0.0017306832165375104 213.9175050735474 0.011339733684919986 
5 654.1624799367867 0.006488702696551588 642.743310969113 0.0066560646151772665 2568.1469741306028 0.0013254538106663761 217.37871482708687 0.013411233827590394 
6 815.3873764493511 0.006444466060607324 696.8436389678718 0.007389031140076375 6214.2028812479975 7.344084560746191E-4 245.46377645049586 0.013993547727193854 
7 972.8643102220489 0.006360348263593401 820.6998931893158 0.00733369600127046 6775.277925116662 7.68960814528994E-4 271.44379889982326 0.01468459308974987 
8 1145.1591657638548 0.006265713150851756 961.6093339920045 0.007198651257400738 11254.611262893677 6.982445204653691E-4 299.3800314903259 0.01492325357606293 
9 1348.9449075486737 0.0060428168557209935 1124.9518500395493 0.006823660892910703 10418.045809152156 7.344426704584062E-4 330.96044487172855 0.014802420592502282 
10 1497.7656794478646 0.006060377208429663 1319.2165420522058 0.006485626259007873 13483.559161324545 5.794349424042537E-4 365.25221606569 0.014440873018542686 
11 1652.8019217506555 0.006057572380462868 1455.364217437262 0.006295991643712916 15035.098203577963 5.389463868161922E-4 391.05753551225746 0.014522914550793756 
12 1834.5298872161422 0.005976242128148339 1574.604387110451 0.006425850655161446 19508.294802831373 4.977801779798411E-4 412.2391818588152 0.014273200962757745 
13 1989.5756001289426 0.006061389313211588 1681.4966689777925 0.0065341340469134935 20117.537477908307 5.060085750522232E-4 455.27931472190176 0.01425384903241201 
14 2044.6019583758448 0.006257199293049429 1760.0147646526214 0.006640678633714089 22922.185121758885 5.121330128965537E-4 460.9354820651285 0.014258995317866192 
15 2172.5107684235395 0.006349561769326954 1960.795335669128 0.006472122490418882 23517.556227465386 5.488409546554104E-4 512.3678229022952 0.014148662590805954 
16 2382.5138361930844 0.006204266454554078 2088.160044574737 0.006460959145595235 28612.89805393219 5.52316478656567E-4 554.1141781806946 0.014264386031612057 
17 2560.1812192912066 0.006137913570577119 2146.1018630312055 0.0066266644885427045 28068.495852897013 5.677958278269262E-4 497.7747595750408 0.013982624075696358 
18 2718.467439239412 0.006129011419974447 2384.682703619299 0.006257427818430212 29498.47036559524 5.205734846527484E-4 509.7342714663902 0.014197176225874039 
19 2750.2288770806085 0.0063730809989630405 2363.570106106028 0.006634397255769284 30160.2240016886 5.090245376281873E-4 628.7345687278616 0.014273794047246791 
20 2905.529743743845 0.0063552062842687764 2508.6017690928516 0.00654150440266517 35015.947951860704 4.555852637285345E-4 626.2708461127884 0.01420487737104266 
21 3065.8730232145217 0.006324094747855101 2577.77286414336 0.006501869851532914 37712.89447553753 4.296691901595988E-4 688.1133249792073 0.014185807653413526 
22 3251.7400474358724 0.006257209452946516 2735.6931592158353 0.006501566633474622 39810.914407511125 4.303590008139472E-4 624.1702697212553 0.014627999777441732 
23 3358.5748166538383 0.006323639867896586 2864.9491200393672 0.006420045262967316 46504.32805077484 3.846165173750161E-4 698.6664256082125 0.014809420882278011 
24 3494.5486023696553 0.0063456089175848345 3154.7756683452026 0.006171328449173986 52770.110069146365 3.725400606469991E-4 647.0146269169483 0.01478798416490218 
25 3651.413415158394 0.00632072129989965 3338.8373649946507 0.0059938875512567285 51324.20396319621 3.919480938673538E-4 684.3535306485735 0.014772216269981977 
26 3847.5898764393914 0.006281356704039026 3202.6514509505387 0.006336989354650055 47999.61832409109 4.4040065036896503E-4 671.8604760460569 0.014814624783581753 
27 3962.4094845161403 0.006270801397398086 3412.7032085554683 0.006387281913561233 49657.39113537905 4.470495614642736E-4 674.3758476289565 0.014757204927606274 
28 4007.7115877575584 0.006463390786047907 3226.889165742874 0.006775592742626387 52209.087735503716 4.579153706303702E-4 694.7952041443026 0.014724036820623503 
29 4104.354183622637 0.0065098584868901474 3372.4124110083103 0.0066558838710761665 54545.90304142944 4.5630094273391576E-4 701.3187912294374 0.014854822688049989 
30 4282.0637182418295 0.006465614351986684 3461.6421161402204 0.006555653406830205 58617.82778315815 4.5449985545882446E-4 751.6418998436019 0.014680361421186321 
31 4522.516648117398 0.006273443459530965 3258.5786317615016 0.00702595986624657 61547.82397120666 4.645060590107239E-4 684.5551892805439 0.014713822036666536 
32 4625.253214359283 0.006388717351246082 3906.607854843139 0.006366068686821025 65025.71136770248 4.809693493151962E-4 769.8432161331176 0.015223462437894061 
